name;id
Rheidae;1
Tinamidae;2
Anhimidae;3
Anatidae;4
Cracidae;5
Odontophoridae;6
Podicipedidae;7
Phoenicopteridae;8
Spheniscidae;9
Diomedeidae;10
Procellariidae;11
Hydrobatidae;12
Pelecanoididae;13
Phaethontidae;14
Ciconiidae;15
Fregatidae;16
Sulidae;17
Phalacrocoracidae;18
Anhingidae;19
Pelecanidae;20
Ardeidae;21
Threskiornithidae;22
Cathartidae;23
Pandionidae;24
Accipitridae;25
Eurypygidae;26
Aramidae;27
Psophiidae;28
Rallidae;29
Heliornithidae;30
Charadriidae;31
Haematopodidae;32
Recurvirostridae;33
Burhinidae;34
Chionidae;35
Scolopacidae;36
Thinocoridae;37
Jacanidae;38
Rostratulidae;39
Glareolidae;40
Stercorariidae;41
Laridae;42
Sternidae;43
Rynchopidae;44
Columbidae;45
Opisthocomidae;46
Cuculidae;47
Tytonidae;48
Strigidae;49
Steatornithidae;50
Nyctibiidae;51
Caprimulgidae;52
Apodidae;53
Trochilidae;54
Trogonidae;55
Alcedinidae;56
Momotidae;57
Galbulidae;58
Bucconidae;59
Capitonidae;60
Ramphastidae;61
Picidae;62
Cariamidae;63
Falconidae;64
Psittacidae;65
Thamnophilidae;66
Melanopareiidae;67
Conopophagidae;68
Grallariidae;69
Rhinocryptidae;70
Formicariidae;71
Scleruridae;72
Dendrocolaptidae;73
Xenopidae;74
Furnariidae;75
Pipridae;76
Oxyruncidae;77
Onychorhynchidae;78
Tityridae;79
Cotingidae;80
Pipritidae;81
Platyrinchidae;82
Tachurisidae;83
Rhynchocyclidae;84
Tyrannidae;85
Vireonidae;86
Corvidae;87
Hirundinidae;88
Troglodytidae;89
Donacobiidae;90
Polioptilidae;91
Turdidae;92
Mimidae;93
Motacillidae;94
Passerellidae;95
Parulidae;96
Icteridae;97
Mitrospingidae;98
Thraupidae;99
Cardinalidae;100
Fringillidae;101
Estrildidae;102
Passeridae;103
None;104
